customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn
C00048,Female,0,No,No,31,Yes,No,DSL,No internet service,No internet service,No,Yes,Yes,No,Month-to-month,Yes,Mailed check,50.43,4425.3730965926825,Yes
C00049,Female,0,No,No,43,Yes,No phone service,DSL,Yes,No,Yes,No,Yes,No,Month-to-month,No,Mailed check,29.1,8477.207386572354,Yes
C00050,Male,0,No,Yes,64,Yes,Yes,DSL,Yes,No,No,Yes,Yes,No internet service,One year,Yes,Credit card,62.28,2443.005041357555,No
C00051,Female,0,Yes,No,7,Yes,No,DSL,Yes,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Bank transfer,43.33,4168.85188402193,No
C00052,Male,0,No,Yes,71,No,No,Fiber optic,No internet service,No internet service,Yes,Yes,Yes,Yes,Month-to-month,No,Mailed check,108.92,3885.4645783430933,No
C00053,Female,0,No,No,42,Yes,No,Fiber optic,No,No internet service,Yes,No,Yes,No,Two year,Yes,Bank transfer,28.18,1047.5207980577552,No
C00054,Male,0,Yes,No,0,Yes,No,No,Yes,Yes,No,No,Yes,No,Month-to-month,No,Bank transfer,22.92,3695.6978132993504,Yes
C00055,Female,1,No,No,50,Yes,No,DSL,Yes,No internet service,No,No,No,No,Month-to-month,No,Electronic check,18.53,2493.9511275386817,No
C00056,Female,0,No,No,23,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Bank transfer,50.81,1390.459448165422,Yes
C00057,Male,0,No,No,23,Yes,No,No,Yes,No internet service,No,No,Yes,Yes,Two year,Yes,Electronic check,84.04,2447.135380345436,No
C00058,Male,0,Yes,No,16,Yes,No,Fiber optic,No internet service,No,No internet service,No internet service,No,No,One year,No,Credit card,91.04,2022.9919183534178,No
C00059,Male,0,Yes,No,4,Yes,No,DSL,No,Yes,Yes,No,Yes,No,Two year,No,Credit card,63.33,6366.61973441398,No
C00060,Male,0,No,Yes,19,Yes,No,Fiber optic,No,Yes,Yes,No,Yes,No,One year,No,Mailed check,86.43,266.9131210416955,No
C00061,Male,0,No,No,20,Yes,Yes,DSL,No internet service,No,No,No,Yes,Yes,Two year,Yes,Mailed check,53.99,5355.2544126513685,No
C00062,Male,0,Yes,No,57,Yes,Yes,DSL,Yes,No,Yes,No,No,Yes,Month-to-month,Yes,Electronic check,84.78,6597.215819370739,No
C00063,Male,1,No,No,30,Yes,No phone service,Fiber optic,No,Yes,No,No,No,Yes,One year,Yes,Electronic check,22.06,4169.314537955404,No
C00064,Male,0,No,No,10,Yes,No,Fiber optic,No internet service,No,Yes,No internet service,Yes,Yes,Two year,Yes,Credit card,57.08,8079.463071608677,No
C00065,Female,0,No,No,51,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,One year,Yes,Electronic check,97.08,6139.449269786471,No
C00066,Female,0,No,No,14,Yes,Yes,No,No,No internet service,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,98.3,6486.741827823922,No
C00067,Male,0,Yes,No,6,Yes,No,Fiber optic,Yes,No,No,No,Yes,Yes,Month-to-month,No,Credit card,89.61,1708.0041365746677,No
C00068,Female,0,Yes,Yes,27,Yes,No,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,One year,No,Credit card,38.42,6741.484529252284,No
C00069,Female,0,Yes,Yes,50,Yes,No phone service,No,Yes,Yes,No internet service,No internet service,No internet service,Yes,Month-to-month,No,Mailed check,42.72,7216.757646048855,No
C00070,Female,0,No,Yes,57,No,Yes,DSL,No,Yes,No,No internet service,No internet service,No,Two year,Yes,Bank transfer,117.61,3133.2633866451474,No
C00071,Female,0,Yes,Yes,4,Yes,No,No,No,No,No,No,No,Yes,Month-to-month,Yes,Bank transfer,28.34,1850.4978890499594,No
C00072,Male,0,Yes,No,4,Yes,No,Fiber optic,No internet service,Yes,Yes,Yes,No,No internet service,Month-to-month,No,Credit card,36.07,3339.5445407329676,Yes
C00073,Female,0,Yes,Yes,7,Yes,Yes,DSL,No,Yes,No,Yes,Yes,No,Two year,No,Bank transfer,31.0,6414.61991513819,No
C00074,Male,1,No,No,63,No,No,Fiber optic,No internet service,No internet service,Yes,No,Yes,No internet service,Month-to-month,No,Bank transfer,50.77,3622.183097899259,No
C00075,Female,0,No,No,9,Yes,No,Fiber optic,No internet service,No internet service,No,No internet service,No,No internet service,Month-to-month,No,Electronic check,39.02,6388.981713824585,Yes
C00076,Female,0,Yes,Yes,37,Yes,No phone service,Fiber optic,Yes,No,Yes,Yes,Yes,No,One year,Yes,Electronic check,67.77,984.9452638981841,No
C00077,Female,0,Yes,No,7,Yes,No,No,No,No internet service,No,Yes,No,No,One year,No,Bank transfer,65.6,6990.539565066625,No
C00078,Male,0,No,No,24,Yes,Yes,Fiber optic,Yes,Yes,Yes,Yes,No internet service,Yes,Month-to-month,Yes,Credit card,108.15,2196.0684882841656,No
C00079,Female,0,Yes,No,72,Yes,Yes,Fiber optic,No,No,No,No internet service,No internet service,No,Two year,Yes,Credit card,21.47,2158.961110448671,No
C00080,Male,0,Yes,No,65,No,Yes,No,No internet service,No,No internet service,Yes,Yes,No internet service,Month-to-month,No,Credit card,49.99,5120.374111213084,No
C00081,Female,0,Yes,No,49,Yes,Yes,Fiber optic,Yes,No,No,No,No,Yes,One year,Yes,Mailed check,77.67,608.1338107636412,No
C00082,Male,0,Yes,Yes,66,Yes,No,DSL,No,No,No internet service,No,No,No internet service,Month-to-month,Yes,Credit card,78.48,228.08018353613048,No
C00083,Female,0,Yes,No,48,Yes,Yes,No,No,No,Yes,No internet service,No internet service,Yes,One year,Yes,Credit card,66.01,2263.9016140900853,No
C00084,Male,0,No,No,35,Yes,No phone service,DSL,No,No,No,No,Yes,No internet service,Month-to-month,Yes,Bank transfer,99.57,4666.659867523117,No
C00085,Male,0,Yes,No,67,Yes,No phone service,Fiber optic,No,No,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,24.27,7871.756917731395,No
C00086,Female,1,No,Yes,40,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,Yes,Mailed check,99.55,7341.132284113273,No
C00087,Male,0,Yes,No,61,Yes,No phone service,Fiber optic,Yes,Yes,No internet service,No,Yes,No,Two year,Yes,Credit card,67.48,4253.64214689462,No
C00088,Female,0,No,Yes,9,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,31.38,321.3519413036628,Yes
C00089,Female,0,No,Yes,20,Yes,No,Fiber optic,Yes,Yes,Yes,No internet service,No,No internet service,One year,Yes,Credit card,106.57,4642.246967439998,Yes
C00090,Female,0,Yes,Yes,35,Yes,Yes,Fiber optic,No,No,No internet service,Yes,No,No internet service,Two year,Yes,Electronic check,82.92,6112.692238152088,No
C00091,Female,0,No,No,11,Yes,No,No,Yes,Yes,Yes,Yes,Yes,No,Month-to-month,No,Bank transfer,34.35,2941.5739905896176,No
C00092,Female,0,Yes,No,1,No,No,DSL,No internet service,No internet service,No internet service,Yes,No,No,Month-to-month,Yes,Bank transfer,21.36,963.2520293617912,No
C00093,Female,0,No,No,12,Yes,No,DSL,No,Yes,No internet service,No,Yes,No,Month-to-month,No,Bank transfer,32.11,2416.0198581526843,Yes
C00094,Female,0,Yes,No,52,Yes,No,DSL,No,Yes,Yes,No internet service,No internet service,No internet service,One year,No,Mailed check,78.88,6691.9902215293505,No
C00095,Female,0,Yes,No,31,Yes,No,Fiber optic,No,No,No,Yes,No internet service,No,Month-to-month,No,Credit card,35.93,3046.3377573933067,No
C00096,Female,0,Yes,No,15,Yes,No,Fiber optic,No,Yes,Yes,No,No internet service,No,Month-to-month,Yes,Bank transfer,40.58,7042.315468717164,No
C00097,Female,0,No,No,31,Yes,Yes,No,No internet service,No,No,Yes,No internet service,No,One year,Yes,Electronic check,20.51,2771.2095515262376,No
C00098,Female,0,No,No,31,Yes,No phone service,DSL,Yes,No,Yes,Yes,Yes,Yes,One year,No,Bank transfer,90.29,1418.5128481630447,No
C00099,Male,0,No,Yes,10,No,No,Fiber optic,Yes,Yes,Yes,No,Yes,No,Month-to-month,Yes,Electronic check,99.04,3780.112822061524,No
C00100,Male,0,Yes,No,9,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,No,Electronic check,97.68,3922.576845083702,No
C00101,Female,1,No,No,14,Yes,No,DSL,Yes,Yes,No,No,No internet service,Yes,Two year,No,Mailed check,30.76,139.70657947839956,No
C00102,Female,0,Yes,No,16,Yes,Yes,Fiber optic,Yes,Yes,No internet service,No,Yes,Yes,Two year,No,Credit card,108.33,1015.1319155819666,No
C00103,Female,0,No,No,39,Yes,No,DSL,Yes,Yes,No,No,Yes,No,Two year,No,Mailed check,85.23,1603.8633608166458,No
C00104,Female,0,Yes,No,17,Yes,No,DSL,Yes,Yes,No,Yes,No,Yes,One year,Yes,Bank transfer,107.75,985.1428036252473,No
C00105,Female,0,Yes,No,54,Yes,Yes,DSL,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Mailed check,62.72,2962.0556521294884,No
C00106,Female,0,Yes,No,72,Yes,No phone service,DSL,Yes,No,No internet service,No,No,No,Month-to-month,No,Electronic check,61.7,8366.174026766397,No
C00107,Female,0,Yes,No,24,Yes,No,Fiber optic,No internet service,No,Yes,No,No,No internet service,Month-to-month,Yes,Credit card,96.45,4416.487074910748,No
C00108,Female,1,No,Yes,58,Yes,Yes,DSL,No,No,No,Yes,Yes,No,Month-to-month,Yes,Bank transfer,27.33,5442.793395030117,No
C00109,Male,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,No internet service,Yes,Yes,No internet service,One year,No,Credit card,70.09,3090.9399282302234,No
C00110,Female,0,No,No,29,Yes,No phone service,No,No,Yes,Yes,Yes,No,No,Month-to-month,Yes,Electronic check,101.64,2805.609356731006,No
C00111,Male,0,Yes,Yes,43,Yes,Yes,Fiber optic,No internet service,No internet service,No,Yes,No,Yes,Month-to-month,No,Electronic check,101.02,200.7519528188675,No
C00112,Female,0,No,No,31,Yes,Yes,No,Yes,No,No internet service,No,No internet service,No,Two year,No,Credit card,113.61,4339.393795678142,No
C00113,Female,0,Yes,No,50,Yes,Yes,Fiber optic,No internet service,No internet service,No internet service,No internet service,Yes,No,Month-to-month,Yes,Bank transfer,87.83,4194.340915557202,No
C00114,Male,1,Yes,No,45,Yes,Yes,Fiber optic,No,Yes,No,No,Yes,Yes,Month-to-month,No,Electronic check,38.78,1368.86588816888,Yes
C00115,Female,0,No,Yes,20,Yes,No,No,No,No,Yes,Yes,No,Yes,Month-to-month,No,Electronic check,20.03,6628.982053792741,Yes
C00116,Male,1,Yes,No,31,Yes,No,DSL,No,No,Yes,No,No,No,One year,No,Credit card,65.94,4272.964466787328,No
C00117,Female,1,Yes,No,38,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,Yes,Mailed check,69.37,2940.094703211325,No
C00118,Female,0,No,Yes,11,Yes,No,DSL,No,No,No,No,No,No,Month-to-month,Yes,Bank transfer,42.03,1274.1409679558456,Yes
C00119,Male,0,No,Yes,46,Yes,Yes,DSL,No,No,Yes,No,Yes,Yes,Month-to-month,No,Electronic check,30.47,4788.8908523195905,Yes
C00120,Female,0,Yes,No,17,Yes,No phone service,DSL,Yes,Yes,No internet service,No,Yes,No,Two year,Yes,Mailed check,76.62,6529.182067268247,No
C00121,Male,0,Yes,Yes,20,Yes,No phone service,Fiber optic,No,Yes,Yes,No internet service,Yes,No,Two year,Yes,Credit card,94.43,2445.7803858367593,No
C00122,Female,0,No,No,12,Yes,Yes,Fiber optic,Yes,No,Yes,Yes,No,Yes,Two year,No,Electronic check,117.32,1897.6034112249147,No
C00123,Male,0,Yes,No,20,Yes,No,Fiber optic,Yes,No internet service,No,No,No,Yes,Two year,Yes,Mailed check,93.83,4526.741943332076,No
C00124,Male,0,Yes,Yes,7,Yes,No,DSL,Yes,Yes,No,No internet service,No,No,One year,Yes,Credit card,97.36,1347.2924626693768,No
C00125,Female,0,Yes,No,45,Yes,Yes,DSL,Yes,Yes,Yes,No,No,No internet service,Month-to-month,Yes,Electronic check,79.65,5781.537901932234,No
C00126,Female,0,No,No,6,Yes,Yes,DSL,No,Yes,No,No,No internet service,No internet service,Month-to-month,Yes,Mailed check,116.59,5250.145285160311,Yes
C00127,Male,0,No,No,22,Yes,No,DSL,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Bank transfer,82.0,755.2626161064604,No
C00128,Female,0,Yes,No,21,Yes,No,No,No internet service,Yes,Yes,Yes,Yes,No,One year,Yes,Mailed check,104.03,316.7412503746556,No
C00129,Female,0,Yes,No,21,Yes,No phone service,DSL,No,No internet service,Yes,No internet service,Yes,Yes,Two year,Yes,Mailed check,112.58,5379.763483900797,No
C00130,Female,0,Yes,Yes,28,Yes,No,No,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,No,Mailed check,110.99,2552.409901804349,No
C00131,Male,0,No,No,12,No,No,No,No,No,No,No,No,Yes,Month-to-month,No,Bank transfer,56.14,749.7440172728855,No
C00132,Male,0,Yes,No,1,Yes,No,DSL,No internet service,No,Yes,No internet service,No,No,Month-to-month,No,Bank transfer,25.87,6586.525158087607,No
C00133,Male,1,Yes,Yes,28,Yes,No,Fiber optic,No,No,No,Yes,No,Yes,Two year,Yes,Bank transfer,35.19,2723.7036381720277,No
C00134,Male,0,No,No,51,Yes,No,DSL,Yes,No,No internet service,No,Yes,Yes,One year,Yes,Electronic check,23.92,3986.106894012313,No
C00135,Male,0,Yes,No,26,Yes,Yes,DSL,No internet service,No,No,Yes,Yes,No,Two year,No,Bank transfer,28.54,2053.8785198065407,No
C00136,Male,0,No,No,49,Yes,No,DSL,No,No internet service,No,No internet service,No,No,Two year,Yes,Credit card,36.47,5440.721020598627,No
C00137,Male,0,Yes,Yes,22,Yes,No,Fiber optic,Yes,Yes,No internet service,No internet service,Yes,Yes,Two year,No,Mailed check,52.11,2614.8090263683594,No
C00138,Male,0,Yes,No,43,Yes,Yes,DSL,Yes,No internet service,No internet service,No,No,Yes,Two year,Yes,Bank transfer,72.35,8395.645796727222,No
C00139,Male,0,Yes,No,21,Yes,No,Fiber optic,No,Yes,No,No,No internet service,No,One year,Yes,Bank transfer,89.17,6096.66408915443,No
C00140,Female,1,No,Yes,42,Yes,Yes,Fiber optic,Yes,No,No,No internet service,Yes,No,Month-to-month,No,Credit card,39.09,1185.7923029870688,Yes
C00141,Male,0,No,Yes,36,No,No,DSL,No internet service,No,No,No,No,No,Month-to-month,No,Credit card,85.25,3613.9943444879773,No
C00142,Female,0,No,Yes,60,Yes,No,Fiber optic,Yes,Yes,No,No,No,Yes,Month-to-month,No,Electronic check,88.43,3342.757197957237,No
C00143,Female,0,Yes,No,55,Yes,Yes,Fiber optic,No internet service,No internet service,Yes,No,Yes,No,Month-to-month,Yes,Mailed check,73.86,4633.525191277883,Yes
C00144,Female,0,No,No,2,Yes,Yes,DSL,No,Yes,No,No,No,No internet service,Two year,Yes,Mailed check,108.36,7302.0647397585635,No
C00145,Male,1,Yes,No,62,Yes,Yes,DSL,Yes,Yes,No internet service,Yes,Yes,Yes,Month-to-month,Yes,Mailed check,29.1,5060.019137682174,No
C00146,Male,1,Yes,No,18,Yes,No,Fiber optic,Yes,No,No,Yes,Yes,No internet service,Two year,Yes,Electronic check,35.71,533.8810648247937,No
C00147,Male,0,No,Yes,22,Yes,Yes,DSL,No,Yes,No,Yes,No,No,Month-to-month,Yes,Credit card,60.87,5684.420338371162,No
C00148,Male,0,Yes,No,28,Yes,No phone service,Fiber optic,No,No,No,No internet service,No internet service,Yes,Month-to-month,Yes,Electronic check,30.67,71.68492908442987,No
C00149,Female,0,Yes,No,29,Yes,Yes,DSL,No,Yes,Yes,No,Yes,No,Two year,Yes,Mailed check,74.63,6764.597074266829,No
C00150,Male,0,Yes,Yes,38,Yes,No phone service,DSL,Yes,Yes,No,No,No,Yes,Month-to-month,No,Bank transfer,57.84,5781.7346560227015,No
C00151,Male,1,Yes,Yes,24,Yes,No phone service,DSL,Yes,Yes,No,No,No internet service,Yes,Month-to-month,No,Electronic check,46.46,2678.098014891978,No
C00152,Male,0,Yes,Yes,7,Yes,No,DSL,Yes,Yes,Yes,Yes,No internet service,No,Month-to-month,No,Credit card,35.0,2536.3477712048702,Yes
C00153,Male,0,No,No,57,Yes,No,Fiber optic,No,No,Yes,Yes,No,No,One year,Yes,Credit card,51.53,6923.421699046108,No
C00154,Male,0,Yes,No,15,Yes,No,DSL,Yes,No,No internet service,No,Yes,No internet service,Month-to-month,No,Mailed check,78.8,6793.879129062234,No
C00155,Female,1,No,No,71,Yes,No,Fiber optic,No,No internet service,Yes,No,No internet service,No,One year,Yes,Mailed check,75.58,3055.518319509639,No
C00156,Male,0,No,No,0,No,Yes,No,No,No internet service,Yes,No internet service,Yes,Yes,One year,Yes,Electronic check,34.36,2592.773645635935,No
C00157,Female,0,Yes,No,4,Yes,Yes,Fiber optic,No internet service,Yes,No internet service,No,No,No,One year,No,Bank transfer,30.49,4855.360393980437,No
C00158,Male,1,Yes,No,2,Yes,Yes,Fiber optic,Yes,No,No,No,Yes,No,One year,Yes,Electronic check,20.67,72.55536904248248,No
C00159,Female,0,Yes,No,64,Yes,No,DSL,Yes,Yes,No,No,No,No,Month-to-month,Yes,Bank transfer,19.24,716.9712204572813,No
C00160,Male,0,No,Yes,3,Yes,Yes,DSL,No,Yes,No internet service,No internet service,Yes,No internet service,Month-to-month,Yes,Credit card,105.98,1094.2688553599937,Yes
C00161,Male,1,Yes,Yes,63,Yes,No,Fiber optic,No,No,Yes,No,No,No internet service,Two year,Yes,Electronic check,22.51,1608.0766960150818,No
C00162,Female,1,No,Yes,9,Yes,No phone service,DSL,Yes,Yes,No,Yes,Yes,No,Month-to-month,No,Credit card,91.12,4440.733212656343,No
C00163,Female,0,Yes,Yes,20,Yes,Yes,Fiber optic,No internet service,Yes,No,No,Yes,No,Month-to-month,No,Electronic check,105.2,8605.71412759051,Yes
C00164,Female,0,No,No,45,Yes,No,DSL,No internet service,No internet service,No internet service,No,No,Yes,Month-to-month,No,Credit card,27.81,5660.116033354797,No
C00165,Male,0,Yes,No,26,Yes,Yes,Fiber optic,Yes,No,No,No,No internet service,No internet service,Two year,Yes,Electronic check,61.63,531.6444442581162,No
C00166,Female,0,Yes,Yes,65,Yes,No,No,Yes,No,No,Yes,No internet service,Yes,Month-to-month,No,Bank transfer,114.23,4558.349911241823,No
C00167,Male,0,No,Yes,40,Yes,No phone service,No,No,Yes,No,No internet service,Yes,Yes,Month-to-month,Yes,Electronic check,101.41,4307.403927054172,Yes
C00168,Male,0,No,No,12,Yes,No,Fiber optic,No,Yes,No,No internet service,No,Yes,One year,Yes,Credit card,66.97,1250.3674665899432,No
C00169,Female,0,Yes,No,8,Yes,No phone service,Fiber optic,Yes,No internet service,No,Yes,No,No,One year,No,Mailed check,94.26,7981.522254623282,No
C00170,Female,0,No,No,35,Yes,Yes,Fiber optic,No,Yes,No,No internet service,Yes,No,Month-to-month,Yes,Electronic check,101.34,3822.756993088475,No
C00171,Male,0,No,No,57,Yes,No,Fiber optic,No,No,No,Yes,Yes,No,Month-to-month,No,Bank transfer,52.8,8625.811426508273,No
C00172,Male,0,No,Yes,53,Yes,No,DSL,Yes,Yes,No,Yes,No,No internet service,One year,Yes,Mailed check,107.22,3643.287016722021,No
C00173,Female,0,No,Yes,11,Yes,Yes,DSL,No,No,No,Yes,No internet service,No internet service,Two year,No,Bank transfer,65.05,5272.8171553749435,No
C00174,Female,0,Yes,No,13,No,No phone service,Fiber optic,No internet service,Yes,No,Yes,No,Yes,One year,No,Credit card,70.78,908.6054786433397,No
C00175,Female,0,Yes,No,33,Yes,Yes,No,Yes,No internet service,No internet service,No internet service,No,Yes,Month-to-month,Yes,Mailed check,117.97,3939.5179158769765,Yes
